T_K,T_C,rho_kg_m3,cp_J_kgK,k_W_mK,mu_Pa_s,nu_m2_s,alpha_m2_s
290,16.85,971.731671,1460,0.129364,0.000637558,6.56105e-07,9.1183e-08
295,21.85,967.590724,1460,0.129754,0.000631214,6.52357e-07,9.185e-08
300,26.85,963.48492,1460,0.130144,0.000624933,6.48618e-07,9.2518e-08
305,31.85,959.413813,1460,0.130534,0.000618715,6.44889e-07,9.3189e-08
310,36.85,955.376966,1460,0.130924,0.000612559,6.4117e-07,9.3863e-08
315,41.85,951.373947,1460,0.131314,0.000606464,6.37461e-07,9.4538e-08
320,46.85,947.404333,1460,0.131704,0.000600429,6.33763e-07,9.5216e-08
325,51.85,943.467708,1460,0.132094,0.000594455,6.30075e-07,9.5897e-08
330,56.85,939.563663,1460,0.132484,0.00058854,6.26397e-07,9.658e-08
335,61.85,935.691794,1460,0.132874,0.000582684,6.22731e-07,9.7265e-08
340,66.85,931.851705,1460,0.133264,0.000576886,6.19075e-07,9.7952e-08
345,71.85,928.043007,1460,0.133654,0.000571146,6.15431e-07,9.8642e-08
350,76.85,924.265317,1460,0.134044,0.000565463,6.11797e-07,9.9334e-08
355,81.85,920.518257,1460,0.134434,0.000559837,6.08176e-07,1.00029e-07
360,86.85,916.801455,1460,0.134824,0.000554266,6.04565e-07,1.00726e-07
365,91.85,913.114549,1460,0.135214,0.000548751,6.00966e-07,1.01425e-07
370,96.85,909.457177,1460,0.135604,0.000543291,5.97379e-07,1.02126e-07
375,101.85,905.828986,1460,0.135994,0.000537885,5.93804e-07,1.0283e-07
380,106.85,902.229629,1460,0.136384,0.000532533,5.90241e-07,1.03537e-07
385,111.85,898.658763,1460,0.136774,0.000527234,5.8669e-07,1.04245e-07
390,116.85,895.116052,1460,0.137164,0.000521988,5.83152e-07,1.04956e-07
395,121.85,891.601163,1460,0.137554,0.000516794,5.79625e-07,1.0567e-07
400,126.85,888.113771,1460,0.137944,0.000511652,5.76111e-07,1.06385e-07
405,131.85,884.653553,1460,0.138334,0.000506561,5.7261e-07,1.07104e-07
410,136.85,881.220193,1460,0.138724,0.000501521,5.69121e-07,1.07824e-07
415,141.85,877.813381,1460,0.139114,0.000496531,5.65645e-07,1.08547e-07
420,146.85,874.432808,1460,0.139504,0.00049159,5.62182e-07,1.09272e-07
425,151.85,871.078174,1460,0.139894,0.000486699,5.58731e-07,1.09999e-07
430,156.85,867.74918,1460,0.140284,0.000481856,5.55294e-07,1.10729e-07
435,161.85,864.445534,1460,0.140674,0.000477061,5.5187e-07,1.11461e-07
440,166.85,861.166948,1460,0.141064,0.000472315,5.48459e-07,1.12196e-07
445,171.85,857.913137,1460,0.141454,0.000467615,5.45061e-07,1.12933e-07
450,176.85,854.683822,1460,0.141844,0.000462962,5.41676e-07,1.13672e-07
455,181.85,851.478727,1460,0.142234,0.000458356,5.38305e-07,1.14414e-07
460,186.85,848.297581,1460,0.142624,0.000453795,5.34948e-07,1.15158e-07
465,191.85,845.140116,1460,0.143014,0.000449279,5.31604e-07,1.15904e-07
470,196.85,842.006069,1460,0.143404,0.000444809,5.28273e-07,1.16653e-07
475,201.85,838.895179,1460,0.143794,0.000440383,5.24956e-07,1.17404e-07
480,206.85,835.807193,1460,0.144184,0.000436001,5.21653e-07,1.18157e-07
485,211.85,832.741856,1460,0.144574,0.000431663,5.18364e-07,1.18913e-07
490,216.85,829.698922,1460,0.144964,0.000427368,5.15088e-07,1.19671e-07
495,221.85,826.678146,1460,0.145354,0.000423115,5.11826e-07,1.20431e-07
500,226.85,823.679286,1460,0.145744,0.000418905,5.08578e-07,1.21194e-07
505,231.85,820.702104,1460,0.146134,0.000414737,5.05344e-07,1.21959e-07
510,236.85,817.746367,1460,0.146524,0.000410611,5.02125e-07,1.22726e-07
515,241.85,814.811844,1460,0.146914,0.000406525,4.98919e-07,1.23496e-07
520,246.85,811.898307,1460,0.147304,0.00040248,4.95727e-07,1.24268e-07
525,251.85,809.005531,1460,0.147694,0.000398475,4.92549e-07,1.25043e-07
530,256.85,806.133296,1460,0.148084,0.00039451,4.89386e-07,1.2582e-07
535,261.85,803.281384,1460,0.148474,0.000390585,4.86237e-07,1.26599e-07
540,266.85,800.449579,1460,0.148864,0.000386698,4.83102e-07,1.27381e-07
545,271.85,797.63767,1460,0.149254,0.000382851,4.79981e-07,1.28165e-07
550,276.85,794.845448,1460,0.149644,0.000379041,4.76874e-07,1.28951e-07
555,281.85,792.072707,1460,0.150034,0.00037527,4.73782e-07,1.2974e-07
560,286.85,789.319243,1460,0.150424,0.000371536,4.70704e-07,1.30531e-07
565,291.85,786.584856,1460,0.150814,0.000367839,4.67641e-07,1.31324e-07
570,296.85,783.86935,1460,0.151204,0.000364179,4.64591e-07,1.3212e-07
575,301.85,781.172528,1460,0.151594,0.000360555,4.61556e-07,1.32918e-07
580,306.85,778.494199,1460,0.151984,0.000356968,4.58536e-07,1.33718e-07
585,311.85,775.834172,1460,0.152374,0.000353416,4.5553e-07,1.34521e-07
590,316.85,773.192262,1460,0.152764,0.000349899,4.52538e-07,1.35326e-07
595,321.85,770.568284,1460,0.153154,0.000346418,4.49561e-07,1.36134e-07
600,326.85,767.962056,1460,0.153544,0.000342971,4.46599e-07,1.36943e-07
605,331.85,765.373397,1460,0.153934,0.000339558,4.4365e-07,1.37756e-07
610,336.85,762.802132,1460,0.154324,0.000336179,4.40716e-07,1.3857e-07
615,341.85,760.248085,1460,0.154714,0.000332834,4.37797e-07,1.39387e-07
620,346.85,757.711084,1460,0.155104,0.000329523,4.34892e-07,1.40206e-07
625,351.85,755.19096,1460,0.155494,0.000326244,4.32002e-07,1.41028e-07
630,356.85,752.687543,1460,0.155884,0.000322998,4.29126e-07,1.41852e-07
635,361.85,750.200669,1460,0.156274,0.000319784,4.26264e-07,1.42678e-07
640,366.85,747.730174,1460,0.156664,0.000316602,4.23417e-07,1.43507e-07
