T_K,T_C,rho_kg_m3,cp_J_kgK,k_W_mK,mu_Pa_s,nu_m2_s,alpha_m2_s
290,16.85,1.21719,1007.0,0.0249003,1.81054e-05,1.48748e-05,2.03151e-05
295,21.85,1.19653,1007.0,0.0252776,1.83385e-05,1.53264e-05,2.0979e-05
300,26.85,1.17656,1007.0,0.0256469,1.85758e-05,1.57883e-05,2.16468e-05
305,31.85,1.15685,1007.0,0.0260169,1.88051e-05,1.62554e-05,2.2333e-05
310,36.85,1.13827,1007.0,0.0263869,1.90351e-05,1.67229e-05,2.30205e-05
315,41.85,1.1203,1007.0,0.0267573,1.92655e-05,1.71968e-05,2.37181e-05
320,46.85,1.10262,1007.0,0.0271237,1.94919e-05,1.76778e-05,2.44284e-05
325,51.85,1.0858,1007.0,0.0274844,1.97127e-05,1.8155e-05,2.51366e-05
330,56.85,1.06921,1007.0,0.0278497,1.99386e-05,1.86481e-05,2.5866e-05
335,61.85,1.05311,1007.0,0.0282152,2.0162e-05,1.91452e-05,2.6606e-05
340,66.85,1.03751,1007.0,0.0285808,2.03817e-05,1.96448e-05,2.73559e-05
345,71.85,1.02255,1007.09,0.028944,2.06015e-05,2.01472e-05,2.81063e-05
350,76.85,1.00826,1007.76,0.0293043,2.08221e-05,2.06517e-05,2.88404e-05
355,81.85,0.994211,1008.0,0.029662,2.10403e-05,2.11628e-05,2.95979e-05
360,86.85,0.980339,1008.0,0.0300167,2.12556e-05,2.16819e-05,3.03757e-05
365,91.85,0.966869,1008.06,0.0303715,2.14684e-05,2.2204e-05,3.1161e-05
370,96.85,0.953804,1008.62,0.030727,2.16784e-05,2.27283e-05,3.194e-05
375,101.85,0.941173,1009.18,0.0310804,2.18873e-05,2.32553e-05,3.27225e-05
380,106.85,0.92883,1009.68,0.0314315,2.20959e-05,2.37889e-05,3.35153e-05
385,111.85,0.916749,1010.18,0.0317813,2.23038e-05,2.43292e-05,3.43179e-05
390,116.85,0.904962,1010.68,0.0321303,2.25105e-05,2.48745e-05,3.51292e-05
395,121.85,0.893493,1011.18,0.032479,2.27159e-05,2.54237e-05,3.59486e-05
400,126.85,0.882312,1011.65,0.0328276,2.29213e-05,2.59787e-05,3.67777e-05
405,131.85,0.871404,1012.13,0.0331755,2.31254e-05,2.65381e-05,3.76152e-05
410,136.85,0.860765,1012.64,0.0335223,2.33261e-05,2.70993e-05,3.84586e-05
415,141.85,0.850393,1013.23,0.0338676,2.35212e-05,2.76593e-05,3.93057e-05
420,146.85,0.84028,1013.94,0.0342115,2.37079e-05,2.82143e-05,4.01547e-05
425,151.85,0.83041,1014.72,0.0345541,2.38911e-05,2.87703e-05,4.10074e-05
430,156.85,0.820766,1015.51,0.0348956,2.40777e-05,2.93357e-05,4.18663e-05
435,161.85,0.811334,1016.27,0.0352357,2.42745e-05,2.99193e-05,4.27339e-05
440,166.85,0.802105,1016.99,0.0355746,2.44852e-05,3.05262e-05,4.36105e-05
445,171.85,0.793079,1017.72,0.0359123,2.47014e-05,3.11463e-05,4.44939e-05
450,176.85,0.784255,1018.48,0.0362487,2.49133e-05,3.17668e-05,4.53819e-05
455,181.85,0.775628,1019.33,0.0365839,2.51114e-05,3.23756e-05,4.62725e-05
460,186.85,0.767156,1020.29,0.036918,2.52975e-05,3.29757e-05,4.71664e-05
465,191.85,0.75887,1021.31,0.0372509,2.54774e-05,3.35728e-05,4.80628e-05
470,196.85,0.750824,1022.36,0.0375822,2.5656e-05,3.41705e-05,4.896e-05
475,201.85,0.743051,1023.37,0.0379118,2.58377e-05,3.47724e-05,4.98566e-05
480,206.85,0.735422,1024.36,0.0382405,2.60212e-05,3.53826e-05,5.07614e-05
485,211.85,0.727898,1025.35,0.0385685,2.62053e-05,3.60013e-05,5.16761e-05
490,216.85,0.720486,1026.33,0.0388957,2.63898e-05,3.66277e-05,5.26002e-05
495,221.85,0.713192,1027.32,0.0392221,2.65743e-05,3.7261e-05,5.35327e-05
500,226.85,0.706021,1028.31,0.0395476,2.67585e-05,3.79005e-05,5.44728e-05
505,231.85,0.69898,1029.3,0.0398721,2.69423e-05,3.85451e-05,5.54194e-05
510,236.85,0.692074,1030.3,0.0401954,2.71252e-05,3.9194e-05,5.63715e-05
515,241.85,0.685309,1031.32,0.0405176,2.73069e-05,3.98461e-05,5.73278e-05
520,246.85,0.678691,1032.34,0.0408385,2.74873e-05,4.05004e-05,5.82872e-05
525,251.85,0.672224,1033.39,0.0411581,2.76659e-05,4.11558e-05,5.92486e-05
