T [K],Density [kg/m3],cp [J/kgK],k [W/mK],mu [Pa s],nu [m2/s],alpha [m2/s]
290,1.2176976461671527,1006.050814637476,0.02563772007628886,1.805207215111668e-05,1.4824757367264126e-05,2.0927628526252076e-05
295,1.1969997178381984,1006.2024387189175,0.026012114079375908,1.829556576679599e-05,1.528451969883342e-05,2.1597139643853183e-05
300,1.1769955883877592,1006.3739076641027,0.026384465709828872,1.853734050902612e-05,1.5749711122042902e-05,2.2274814744444102e-05
305,1.1576508451016692,1006.5653617966864,0.02675481141986405,1.877742810797319e-05,1.6220286269755273e-05,2.296055173479191e-05
310,1.138933321305338,1006.7769467963875,0.02712318684668801,1.9015859486252172e-05,1.6696200849105008e-05,2.3654248453536408e-05
315,1.120812915444119,1007.0088093225372,0.027489626827874175,1.925266478341857e-05,1.7177411607350863e-05,2.4355802725309827e-05
320,1.1032614274371655,1007.2610932005147,0.02785416541729079,1.948787337975563e-05,1.7663876299042942e-05,2.5065112420587553e-05
325,1.0862524104034759,1007.5339361053934,0.028216835901426814,1.972151391935931e-05,1.8155553654453096e-05,2.5782075520764313e-05
330,1.0697610360952807,1007.8274666873491,0.02857767081598544,1.995361433252608e-05,1.865240334921758e-05,2.6506590187913996e-05
335,1.0537639725776442,1008.1418020917271,0.028936701962635068,2.0184201857451725e-05,1.915438597514255e-05,2.7238554838663602e-05
340,1.0382392728691296,1008.4770458334466,0.02929396042582484,2.041330306125125e-05,1.9661463012124328e-05,2.7977868221591592e-05
345,1.0231662734107942,1008.8332859909293,0.029649476589586457,2.064094386031212e-05,2.0173596801137834e-05,2.872442949754792e-05
350,1.008525501363059,1009.2105936892406,0.030003280154256667,2.086714953999417e-05,2.0690750518248132e-05,2.9478138322287396e-05
355,0.9942985898451009,1009.6090218457871,0.03035540015306587,2.1091944773691005e-05,2.1212888149601884e-05,3.023889493080936e-05
360,0.9804682003317772,1010.0286041549156,0.030705864968547047,2.1315353641268303e-05,2.1739974467357e-05,3.100660022280356e-05
365,0.9670179515107864,1010.4693542902119,0.031054702348728033,2.1537399646895168e-05,2.227197500651045e-05,3.178115584861617e-05
370,0.9539323539795704,1010.9312653053212,0.031401939423076,2.1758105736285207e-05,2.2808856042585995e-05,3.25624642951676e-05
375,0.9411967502288351,1011.4143092158025,0.031747602718169884,2.1977494313364075e-05,2.335058457014502e-05,3.335042897127781e-05
380,0.928797259418806,1011.9184367459375,0.03209171817308083,2.2195587256380674e-05,2.3897128282085524e-05,3.414495429188142e-05
385,0.9167207265065078,1012.4435772256119,0.03243431115444522,2.2412405933478815e-05,2.4448455549695382e-05,3.494594576064582e-05
390,0.9049546753283888,1012.9896386234278,0.032775406471218835,2.262797121774652e-05,2.5004535403428145e-05,3.575331005053907e-05
395,0.8934872652833088,1013.5565077030957,0.03311502838910342,2.284230350175962e-05,2.556533751437043e-05,3.656695508192996e-05
400,0.8823072512969408,1014.1440502909675,0.033453200644640045,2.305542271163637e-05,2.6130832176371926e-05,3.738679009783986e-05
405,0.8714039467805978,1014.7521116432928,0.03378994645896535,2.326734832061921e-05,2.6700990288809727e-05,3.821272573600408e-05
410,0.8607671893258882,1015.3805169024452,0.03412528855122963,2.3478099362199957e-05,2.727578333996081e-05,3.904467409744026e-05
415,0.8503873089018692,1016.0290716319884,0.03445924915167639,2.36876944428038e-05,2.7855183390956806e-05,3.988254881125924e-05
420,0.8402550983438799,1016.697562421039,0.03479185001438501,2.3896151754047594e-05,2.843916306029712e-05,4.072626509549322e-05
425,0.8303617859433369,1017.3857575489408,0.035123112429679096,2.4103489084587194e-05,2.9027695508897123e-05,4.157573981375398e-05
430,0.82069900996573,1018.0934077018004,0.03545305723620432,2.4309723831568472e-05,2.9620754425649394e-05,4.2430891527570774e-05
435,0.8112587949401315,1018.8202467329602,0.03578170483267975,2.4514873011695835e-05,3.0218314013476992e-05,4.3291640544293126e-05
440,0.802033529577954,1019.5659924599817,0.03610907518932821,2.4718953271932186e-05,3.082034897585864e-05,4.415790896047795e-05
445,0.7930159461916048,1020.3303474912108,0.03643518785899096,2.4921980899843258e-05,3.142683450380672e-05,4.502962070071277e-05
450,0.7841991014953285,1021.1130000754673,0.036760061987932934,2.5123971833599316e-05,3.2037746263279774e-05,4.59067015518571e-05
455,0.7755763586809712,1021.9136249688672,0.03708371632634489,2.532494167164644e-05,3.265306038301215e-05,4.6789079192712814e-05
460,0.7671413706708372,1022.7318843132422,0.03740616923854899,2.552490568205942e-05,3.327275344274396e-05,4.767668321915957e-05
465,0.7588880644582955,1023.5674285210553,0.03772743871291486,2.5723878811587765e-05,3.389680246183581e-05,4.856944516481683e-05
470,0.750810626454484,1024.4198971621277,0.03804754237149309,2.5921875694405963e-05,3.452518488825279e-05,4.9467298517314986e-05
475,0.742903488766391,1025.2889198479197,0.03836649747937301,2.6118910660578663e-05,3.515787858790344e-05,5.0370178730277344e-05
480,0.7351613163378815,1026.1741171094754,0.038684320953772146,2.6314997744251235e-05,3.579486183431993e-05,5.1278023231133765e-05
485,0.7275789948909315,1027.075101265546,0.03900102937286434,2.6510150691575546e-05,3.643611329866605e-05,5.219077142490013e-05
490,0.7201516196094965,1027.9914772777408,0.039316638984353516,2.6704382968380617e-05,3.708161204006056e-05,5.310836469407237e-05
495,0.7128744845131361,1028.9228435899138,0.03963116571380039,2.689770776759742e-05,3.773133749620376e-05,5.4030746394795026e-05
500,0.7057430724717751,1029.8687929493178,0.03994462517270878,2.7090138016446616e-05,3.8385269474295884e-05,5.4957861849472623e-05
505,0.6987530458168748,1030.8289132073594,0.04025703266637862,2.7281686383397922e-05,3.904338814223609e-05,5.5889658336000636e-05
510,0.6919002375078105,1031.8027880980824,0.04056840320153232,2.7472365284909184e-05,3.9705674020091754e-05,5.682608507379848e-05
515,0.6851806428154891,1032.7899979927797,0.04087875149372122,2.7662186891953292e-05,4.037210797182779e-05,5.776709320683066e-05
