T_K,T_C,rho_kg_m3,cp_J_kgK,k_W_mK,nu_m2_s,mu_Pa_s,alpha_m2_s,Pr
290.0,16.85,895.10658306,1800.0,0.12912616,1.9518343e-05,0.017470997631,8.0143e-08,243.5432
295.0,21.85,891.96678676,1800.0,0.12904876,1.6743751e-05,0.014934870013,8.0377e-08,208.3148
300.0,26.85,888.84894062,1800.0,0.12897136,1.4437176e-05,0.012832468472,8.0611e-08,179.0975
305.0,31.85,885.75281525,1800.0,0.12889396,1.250899e-05,0.011079872936,8.0844e-08,154.7301
310.0,36.85,882.67818446,1800.0,0.12881656,1.0888564e-05,0.009611098115,8.1077e-08,134.2993
315.0,41.85,879.62482519,1800.0,0.12873916,9.519886e-06,0.008373928039,8.1309e-08,117.0822
320.0,46.85,876.59251745,1800.0,0.12866176,8.358262e-06,0.007326789675,8.1542e-08,102.503
325.0,51.85,873.58104427,1800.0,0.12858436,7.367822e-06,0.006436389729,8.1773e-08,90.1004
330.0,56.85,870.59019168,1800.0,0.12850696,6.519619e-06,0.005675916153,8.2005e-08,79.5027
335.0,61.85,867.61974859,1800.0,0.12842956,5.790164e-06,0.005023660477,8.2236e-08,70.4089
340.0,66.85,864.6695068,1800.0,0.12835216,5.160302e-06,0.00446195589,8.2467e-08,62.5741
345.0,71.85,861.73926094,1800.0,0.12827476,4.614335e-06,0.003976353788,8.2698e-08,55.7977
350.0,76.85,858.8288084,1800.0,0.12819736,4.139337e-06,0.003554981546,8.2928e-08,49.915
355.0,81.85,855.93794931,1800.0,0.12811996,3.724614e-06,0.003188038857,8.3158e-08,44.7898
360.0,86.85,853.06648647,1800.0,0.12804256,3.361286e-06,0.002867400637,8.3387e-08,40.3094
365.0,91.85,850.21422533,1800.0,0.12796516,3.041942e-06,0.002586302335,8.3616e-08,36.3798
370.0,96.85,847.38097392,1800.0,0.12788776,2.760375e-06,0.002339089324,8.3845e-08,32.9223
375.0,101.85,844.56654283,1800.0,0.12781036,2.511367e-06,0.002121016367,8.4074e-08,29.871
380.0,106.85,841.77074516,1800.0,0.12773296,2.290513e-06,0.001928086421,8.4302e-08,27.1704
385.0,111.85,838.99339646,1800.0,0.12765556,2.094081e-06,0.001756920489,8.453e-08,24.7734
390.0,116.85,836.23431473,1800.0,0.12757816,1.918902e-06,0.001604652087,8.4757e-08,22.64
395.0,121.85,833.49332035,1800.0,0.12750076,1.762271e-06,0.001468841327,8.4984e-08,20.7365
400.0,126.85,830.77023602,1800.0,0.12742336,1.621874e-06,0.001347404677,8.5211e-08,19.0336
405.0,131.85,828.06488679,1800.0,0.12734596,1.495725e-06,0.001238557336,8.5437e-08,17.5067
410.0,136.85,825.37709996,1800.0,0.12726856,1.382115e-06,0.001140765764,8.5664e-08,16.1342
415.0,141.85,822.70670506,1800.0,0.12719116,1.279567e-06,0.00105270845,8.5889e-08,14.8979
420.0,146.85,820.05353383,1800.0,0.12711376,1.186805e-06,0.000973243364,8.6115e-08,13.7817
425.0,151.85,817.41742018,1800.0,0.12703636,1.102718e-06,0.00090138088,8.634e-08,12.7718
430.0,156.85,814.79820012,1800.0,0.12695896,1.026341e-06,0.000836261155,8.6565e-08,11.8564
435.0,161.85,812.19571179,1800.0,0.12688156,9.56832e-07,0.000777135193,8.6789e-08,11.0248
440.0,166.85,809.60979537,1800.0,0.12680416,8.93454e-07,0.000723348927,8.7013e-08,10.268
445.0,171.85,807.04029307,1800.0,0.12672676,8.35559e-07,0.000674329809,8.7237e-08,9.578
450.0,176.85,804.48704911,1800.0,0.12664936,7.8258e-07,0.000629575478,8.746e-08,8.9478
455.0,181.85,801.94990967,1800.0,0.12657196,7.34016e-07,0.000588644155,8.7683e-08,8.3712
460.0,186.85,799.42872285,1800.0,0.12649456,6.89425e-07,0.00055114648,8.7906e-08,7.8427
465.0,191.85,796.92333866,1800.0,0.12641716,6.48417e-07,0.000516738563,8.8129e-08,7.3576
470.0,196.85,794.433609,1800.0,0.12633976,6.10644e-07,0.000485116038,8.8351e-08,6.9116
475.0,201.85,791.95938761,1800.0,0.12626236,5.75798e-07,0.00045600898,8.8572e-08,6.5009
480.0,206.85,789.50053003,1800.0,0.12618496,5.43606e-07,0.000429177539,8.8794e-08,6.1221
485.0,211.85,787.0568936,1800.0,0.12610756,5.13823e-07,0.000404408184,8.9015e-08,5.7723
490.0,216.85,784.62833743,1800.0,0.12603016,4.86231e-07,0.00038151046,8.9236e-08,5.4488
495.0,221.85,782.21472234,1800.0,0.12595276,4.60633e-07,0.000360314192,8.9456e-08,5.1493
500.0,226.85,779.81591087,1800.0,0.12587536,4.36856e-07,0.000340667057,8.9676e-08,4.8715
505.0,231.85,777.43176726,1800.0,0.12579796,4.14741e-07,0.000322432479,8.9896e-08,4.6136
510.0,236.85,775.06215737,1800.0,0.12572056,3.94146e-07,0.000305487798,9.0115e-08,4.3738
515.0,241.85,772.70694872,1800.0,0.12564316,3.74945e-07,0.000289722675,9.0334e-08,4.1507
520.0,246.85,770.36601041,1800.0,0.12556576,3.57022e-07,0.000275037698,9.0553e-08,3.9427
525.0,251.85,768.03921315,1800.0,0.12548836,3.40273e-07,0.000261343162,9.0771e-08,3.7487
530.0,256.85,765.72642918,1800.0,0.12541096,3.24604e-07,0.000248557998,9.0989e-08,3.5675
535.0,261.85,763.42753228,1800.0,0.12533356,3.0993e-07,0.00023660884,9.1207e-08,3.3981
540.0,266.85,761.14239777,1800.0,0.12525616,2.96172e-07,0.000225429195,9.1424e-08,3.2395
545.0,271.85,758.87090242,1800.0,0.12517876,2.83261e-07,0.000214958717,9.1641e-08,3.091
550.0,276.85,756.61292448,1800.0,0.12510136,2.71133e-07,0.000205142562,9.1858e-08,2.9517
555.0,281.85,754.36834365,1800.0,0.12502396,2.59728e-07,0.000195930826,9.2074e-08,2.8209
560.0,286.85,752.13704106,1800.0,0.12494656,2.48995e-07,0.000187278037,9.229e-08,2.698
565.0,291.85,749.91889922,1800.0,0.12486916,2.38883e-07,0.000179142711,9.2506e-08,2.5824
570.0,296.85,747.71380204,1800.0,0.12479176,2.29348e-07,0.000171486956,9.2721e-08,2.4735
575.0,301.85,745.52163479,1800.0,0.12471436,2.20351e-07,0.000164276118,9.2936e-08,2.371
580.0,306.85,743.34228407,1800.0,0.12463696,2.11852e-07,0.00015747847,9.3151e-08,2.2743
585.0,311.85,741.17563781,1800.0,0.12455956,2.03818e-07,0.000151064929,9.3365e-08,2.183
590.0,316.85,739.02158524,1800.0,0.12448216,1.96217e-07,0.000145008807,9.3579e-08,2.0968
595.0,321.85,736.88001689,1800.0,0.12440476,1.89021e-07,0.000139285585,9.3792e-08,2.0153
600.0,326.85,734.75082453,1800.0,0.12432736,1.82202e-07,0.000133872717,9.4006e-08,1.9382
605.0,331.85,732.63390119,1800.0,0.12424996,1.75735e-07,0.000128749446,9.4219e-08,1.8652
610.0,336.85,730.52914114,1800.0,0.12417256,1.69598e-07,0.000123896642,9.4431e-08,1.796
615.0,341.85,728.43643983,1800.0,0.12409516,1.63771e-07,0.000119296661,9.4643e-08,1.7304
620.0,346.85,726.35569393,1800.0,0.12401776,1.58233e-07,0.000114933208,9.4855e-08,1.6681
625.0,351.85,724.2868013,1800.0,0.12394036,1.52966e-07,0.000110791223,9.5067e-08,1.609
630.0,356.85,722.22966092,1800.0,0.12386296,1.47954e-07,0.000106856776,9.5278e-08,1.5529
635.0,361.85,720.18417294,1800.0,0.12378556,1.43181e-07,0.000103116965,9.5489e-08,1.4995
640.0,366.85,718.15023864,1800.0,0.12370816,1.38634e-07,9.9559834e-05,9.57e-08,1.4486
